alpha_i,c,rho,f_opts,steps,final_errors
0.775,0.26,0.42,9.64307695450679e-05,276,9.64307695450679e-05
0.775,0.74,0.42,9.64830711417603e-05,294,9.64830711417603e-05
0.1,0.1,0.74,9.65088342048903e-05,421,9.65088342048903e-05
0.775,0.58,0.42,9.65549920880274e-05,290,9.65549920880274e-05
0.775,0.42,0.58,9.65617907397796e-05,283,9.65617907397796e-05
1,0.58,0.58,9.65877324591295e-05,259,9.65877324591295e-05
0.1,0.42,0.26,9.67202219313642e-05,243,9.67202219313642e-05
0.55,0.9,0.74,9.67207916873005e-05,240,9.67207916873005e-05
0.55,0.58,0.26,9.67399417434467e-05,404,9.67399417434467e-05
0.325,0.74,0.9,9.67512355626952e-05,169,9.67512355626952e-05
0.775,0.26,0.9,9.67759416904964e-05,428,9.67759416904964e-05
0.55,0.74,0.26,9.68134799105991e-05,401,9.68134799105991e-05
0.775,0.58,0.58,9.68256599494162e-05,332,9.68256599494162e-05
0.55,0.1,0.42,9.68364426359956e-05,318,9.68364426359956e-05
0.1,0.9,0.1,9.70304512269969e-05,489,9.70304512269969e-05
1,0.9,0.1,9.70304512269969e-05,489,9.70304512269969e-05
1,0.1,0.9,9.70343100794704e-05,429,9.70343100794704e-05
0.1,0.26,0.26,9.71183982863989e-05,191,9.71183982863989e-05
0.55,0.26,0.58,9.72218211824968e-05,361,9.72218211824968e-05
0.1,0.42,0.42,9.7292841949817e-05,336,9.7292841949817e-05
0.325,0.1,0.58,9.73096136876508e-05,375,9.73096136876508e-05
0.775,0.9,0.58,9.73526884232975e-05,282,9.73526884232975e-05
1,0.42,0.9,9.74175504662509e-05,424,9.74175504662509e-05
0.55,0.42,0.58,9.7470628861836e-05,325,9.7470628861836e-05
0.1,0.1,0.26,9.7522588354352e-05,197,9.7522588354352e-05
0.55,0.42,0.9,9.75263734872335e-05,426,9.75263734872335e-05
0.775,0.1,0.1,9.76126164200838e-05,211,9.76126164200838e-05
1,0.42,0.74,9.7667964957861e-05,321,9.7667964957861e-05
0.775,0.74,0.26,9.76889652480581e-05,304,9.76889652480581e-05
0.55,0.58,0.58,9.78002672606108e-05,272,9.78002672606108e-05
0.55,0.42,0.26,9.78170573495186e-05,402,9.78170573495186e-05
0.1,0.42,0.9,9.78175398050702e-05,427,9.78175398050702e-05
0.55,0.26,0.42,9.78650335908012e-05,313,9.78650335908012e-05
0.55,0.9,0.26,9.78799150166362e-05,441,9.78799150166362e-05
0.775,0.58,0.1,9.78821646204737e-05,393,9.78821646204737e-05
0.775,0.9,0.26,9.78864360259567e-05,394,9.78864360259567e-05
0.775,0.74,0.58,9.79078658971209e-05,277,9.79078658971209e-05
1,0.26,0.26,9.79095190765171e-05,247,9.79095190765171e-05
1,0.74,0.42,9.79520849204311e-05,229,9.79520849204311e-05
1,0.26,0.9,9.79544248556351e-05,428,9.79544248556351e-05
0.55,0.1,0.9,9.79703754546401e-05,429,9.79703754546401e-05
0.55,0.1,0.58,9.80137346335315e-05,373,9.80137346335315e-05
0.1,0.74,0.1,9.80142083799671e-05,478,9.80142083799671e-05
1,0.74,0.1,9.80142083799671e-05,478,9.80142083799671e-05
0.1,0.26,0.1,9.8040485487799e-05,474,9.8040485487799e-05
1,0.26,0.1,9.8040485487799e-05,474,9.8040485487799e-05
0.55,0.26,0.74,9.81212403997382e-05,407,9.81212403997382e-05
0.325,0.1,0.74,9.81257507249125e-05,420,9.81257507249125e-05
0.1,0.58,0.42,9.82059633985757e-05,397,9.82059633985757e-05
0.1,0.1,0.1,9.82149095574761e-05,473,9.82149095574761e-05
1,0.1,0.1,9.82149095574761e-05,473,9.82149095574761e-05
0.1,0.26,0.9,9.82671868564649e-05,428,9.82671868564649e-05
0.325,0.26,0.74,9.82770498509261e-05,419,9.82770498509261e-05
0.1,0.1,0.9,9.82876885272097e-05,429,9.82876885272097e-05
0.325,0.74,0.26,9.84259155704889e-05,220,9.84259155704889e-05
0.55,0.74,0.42,9.84305884227872e-05,411,9.84305884227872e-05
1,0.58,0.26,9.84337582546552e-05,239,9.84337582546552e-05
0.775,0.42,0.1,9.85060122801856e-05,306,9.85060122801856e-05
1,0.9,0.26,9.85788136062684e-05,309,9.85788136062684e-05
1,0.1,0.58,9.86113182663836e-05,395,9.86113182663836e-05
1,0.42,0.58,9.86447141879499e-05,280,9.86447141879499e-05
0.775,0.58,0.26,9.87207818382015e-05,297,9.87207818382015e-05
1,0.1,0.74,9.88054643435869e-05,420,9.88054643435869e-05
0.775,0.58,0.74,9.88467879988392e-05,198,9.88467879988392e-05
0.1,0.42,0.74,9.88469443416104e-05,350,9.88469443416104e-05
0.325,0.58,0.9,9.88529220271671e-05,116,9.88529220271671e-05
0.775,0.26,0.74,9.88753568059914e-05,419,9.88753568059914e-05
0.775,0.1,0.74,9.8875356805992e-05,419,9.8875356805992e-05
0.775,0.1,0.9,9.90212809500784e-05,428,9.90212809500784e-05
0.1,0.74,0.42,9.90425882043986e-05,403,9.90425882043986e-05
0.775,0.74,0.1,9.90671559526556e-05,398,9.90671559526556e-05
0.1,0.9,0.42,9.90946577349769e-05,412,9.90946577349769e-05
0.55,0.42,0.74,9.91136441757718e-05,394,9.91136441757718e-05
0.1,0.58,0.1,9.91469697203853e-05,476,9.91469697203853e-05
1,0.58,0.1,9.91469697203853e-05,476,9.91469697203853e-05
0.325,0.58,0.42,9.91735584642009e-05,290,9.91735584642009e-05
0.1,0.1,0.58,9.91947644669996e-05,329,9.91947644669996e-05
0.55,0.58,0.42,9.92092436621181e-05,409,9.92092436621181e-05
0.1,0.74,0.58,9.92319426916236e-05,284,9.92319426916236e-05
0.1,0.1,0.42,9.92413399988787e-05,339,9.92413399988787e-05
0.1,0.26,0.74,9.92421110483155e-05,420,9.92421110483155e-05
1,0.26,0.58,9.92943710772355e-05,361,9.92943710772355e-05
0.55,0.9,0.1,9.93662355196299e-05,283,9.93662355196299e-05
1,0.9,0.42,9.94380251223252e-05,229,9.94380251223252e-05
0.325,0.42,0.58,9.94444927455099e-05,350,9.94444927455099e-05
0.1,0.58,0.26,9.94766815888941e-05,308,9.94766815888941e-05
0.775,0.9,0.9,9.94912272497539e-05,265,9.94912272497539e-05
0.1,0.74,0.74,9.95318775260399e-05,181,9.95318775260399e-05
0.55,0.1,0.26,9.95502916813463e-05,410,9.95502916813463e-05
0.775,0.1,0.42,9.95983444437684e-05,394,9.95983444437684e-05
1,0.26,0.74,9.97253746651372e-05,410,9.97253746651372e-05
0.325,0.1,0.42,9.97390448657657e-05,395,9.97390448657657e-05
0.775,0.1,0.58,9.97664583592063e-05,401,9.97664583592063e-05
0.775,0.42,0.9,9.97695547097796e-05,421,9.97695547097796e-05
0.1,0.42,0.1,9.98726587810347e-05,475,9.98726587810347e-05
1,0.42,0.1,9.98726587810347e-05,475,9.98726587810347e-05
0.325,0.42,0.9,9.99657609705978e-05,424,9.99657609705978e-05
