alpha_i,c,rho,f_opts,steps,final_errors
0.325,0.74,0.1,4.79525493113191e-05,137,4.79525493113191e-05
0.775,0.42,0.74,4.90872171277706e-05,72,4.90872171277706e-05
0.1,0.1,0.42,5.1012511383912e-05,84,5.1012511383912e-05
0.325,0.58,0.42,5.13480990723933e-05,114,5.13480990723933e-05
0.1,0.42,0.58,5.18970960719281e-05,78,5.18970960719281e-05
1,0.42,0.74,5.22638230767943e-05,72,5.22638230767943e-05
0.55,0.42,0.74,5.28370225416129e-05,72,5.28370225416129e-05
0.55,0.26,0.9,5.29210919557945e-05,110,5.29210919557945e-05
1,0.74,0.42,5.32089224541709e-05,125,5.32089224541709e-05
0.775,0.58,0.1,5.3481925134572e-05,119,5.3481925134572e-05
0.775,0.58,0.74,5.36959994147727e-05,94,5.36959994147727e-05
1,0.58,0.42,5.37526162949948e-05,103,5.37526162949948e-05
0.325,0.74,0.9,5.44036494383246e-05,117,5.44036494383246e-05
0.55,0.58,0.74,5.48120182142711e-05,94,5.48120182142711e-05
0.775,0.74,0.74,5.50243802679746e-05,118,5.50243802679746e-05
0.775,0.58,0.9,5.55949779188416e-05,84,5.55949779188416e-05
1,0.58,0.74,5.59181349063489e-05,94,5.59181349063489e-05
1,0.74,0.58,5.60094821283062e-05,123,5.60094821283062e-05
0.775,0.74,0.42,5.62177944758539e-05,126,5.62177944758539e-05
0.325,0.74,0.42,5.66271521947663e-05,126,5.66271521947663e-05
0.325,0.26,0.42,5.70283850441264e-05,94,5.70283850441264e-05
0.1,0.26,0.42,5.76615512890821e-05,78,5.76615512890821e-05
0.325,0.26,0.9,5.7927651761417e-05,107,5.7927651761417e-05
1,0.58,0.9,5.85046579226853e-05,84,5.85046579226853e-05
1,0.26,0.26,5.93815152794043e-05,84,5.93815152794043e-05
0.55,0.1,0.1,5.94809851093964e-05,117,5.94809851093964e-05
0.1,0.26,0.9,5.95020654970767e-05,107,5.95020654970767e-05
0.55,0.74,0.42,5.98749139212264e-05,133,5.98749139212264e-05
0.55,0.74,0.58,6.0409635141159e-05,124,6.0409635141159e-05
1,0.42,0.9,6.04758741259635e-05,72,6.04758741259635e-05
0.1,0.58,0.9,6.11821002021199e-05,84,6.11821002021199e-05
0.325,0.58,0.26,6.13386637505581e-05,124,6.13386637505581e-05
0.325,0.1,0.1,6.13507653736004e-05,120,6.13507653736004e-05
1,0.26,0.74,6.14424986483166e-05,94,6.14424986483166e-05
0.55,0.1,0.58,6.21958579742212e-05,94,6.21958579742212e-05
0.55,0.1,0.42,6.29754687521239e-05,84,6.29754687521239e-05
0.55,0.26,0.42,6.3852351801702e-05,78,6.3852351801702e-05
0.1,0.42,0.9,6.42130891217924e-05,72,6.42130891217924e-05
0.1,0.58,0.74,6.46180388570602e-05,94,6.46180388570602e-05
0.55,0.58,0.9,6.55077127016671e-05,84,6.55077127016671e-05
0.775,0.1,0.58,6.67456691751812e-05,107,6.67456691751812e-05
0.775,0.26,0.9,6.74222335817663e-05,107,6.74222335817663e-05
0.325,0.58,0.9,6.90632798321263e-05,84,6.90632798321263e-05
1,0.1,0.26,6.9163810073146e-05,84,6.9163810073146e-05
0.325,0.1,0.9,6.93705805915276e-05,130,6.93705805915276e-05
0.775,0.74,0.9,6.94006727117055e-05,115,6.94006727117055e-05
0.325,0.26,0.26,7.02106422262202e-05,89,7.02106422262202e-05
0.325,0.74,0.26,7.03320100162774e-05,132,7.03320100162774e-05
0.325,0.1,0.26,7.13188533745151e-05,89,7.13188533745151e-05
0.325,0.42,0.9,7.15001309448412e-05,72,7.15001309448412e-05
0.55,0.9,0.74,7.33043484366595e-05,166,7.33043484366595e-05
1,0.9,0.42,7.45387403201165e-05,167,7.45387403201165e-05
1,0.9,0.9,7.51962525820938e-05,157,7.51962525820938e-05
0.55,0.42,0.9,7.53943368749786e-05,72,7.53943368749786e-05
0.325,0.42,0.1,7.61309037643618e-05,131,7.61309037643618e-05
0.55,0.1,0.26,7.71249359665263e-05,110,7.71249359665263e-05
0.325,0.58,0.58,7.78082310578745e-05,103,7.78082310578745e-05
0.775,0.42,0.1,7.81491420210029e-05,117,7.81491420210029e-05
0.325,0.1,0.74,7.90196168235504e-05,120,7.90196168235504e-05
0.55,0.74,0.26,7.99182401554277e-05,150,7.99182401554277e-05
0.775,0.74,0.26,8.04054577739778e-05,150,8.04054577739778e-05
1,0.9,0.74,8.12841136231213e-05,166,8.12841136231213e-05
0.1,0.42,0.1,8.14052613922265e-05,133,8.14052613922265e-05
0.1,0.1,0.9,8.16458609154563e-05,161,8.16458609154563e-05
0.1,0.74,0.26,8.17305949636062e-05,168,8.17305949636062e-05
0.55,0.74,0.9,8.22089242915555e-05,115,8.22089242915555e-05
0.1,0.26,0.58,8.22211453089267e-05,77,8.22211453089267e-05
0.1,0.74,0.74,8.23813105820085e-05,139,8.23813105820085e-05
0.775,0.42,0.9,8.25478282261614e-05,72,8.25478282261614e-05
0.1,0.42,0.42,8.27123745620569e-05,78,8.27123745620569e-05
1,0.1,0.42,8.28182915005173e-05,103,8.28182915005173e-05
0.55,0.58,0.58,8.28227716417295e-05,103,8.28227716417295e-05
0.325,0.9,0.74,8.34257184221673e-05,161,8.34257184221673e-05
0.55,0.9,0.58,8.37574449699513e-05,161,8.37574449699513e-05
0.775,0.9,0.74,8.37578486837976e-05,163,8.37578486837976e-05
1,0.26,0.42,8.40528317371254e-05,90,8.40528317371254e-05
0.325,0.74,0.74,8.44325947525939e-05,120,8.44325947525939e-05
1,0.74,0.9,8.44348730454577e-05,115,8.44348730454577e-05
0.775,0.42,0.26,8.51081671963391e-05,104,8.51081671963391e-05
0.775,0.74,0.1,8.52056056093385e-05,189,8.52056056093385e-05
0.1,0.9,0.42,8.54856074556139e-05,205,8.54856074556139e-05
0.775,0.26,0.58,8.55294494240564e-05,78,8.55294494240564e-05
0.55,0.74,0.74,8.58790707871205e-05,118,8.58790707871205e-05
0.325,0.9,0.26,8.62424222899944e-05,238,8.62424222899944e-05
0.1,0.74,0.1,8.66183615820436e-05,176,8.66183615820436e-05
1,0.74,0.1,8.66183615820436e-05,176,8.66183615820436e-05
0.775,0.9,0.42,8.70058404334677e-05,183,8.70058404334677e-05
0.1,0.42,0.26,8.71618565450361e-05,113,8.71618565450361e-05
0.1,0.74,0.9,8.74659945121819e-05,125,8.74659945121819e-05
0.775,0.42,0.58,8.75561875187107e-05,73,8.75561875187107e-05
0.55,0.42,0.58,8.79650288793795e-05,79,8.79650288793795e-05
0.1,0.58,0.42,8.82450629694024e-05,115,8.82450629694024e-05
0.325,0.9,0.42,8.8308697641115e-05,183,8.8308697641115e-05
1,0.42,0.26,8.86039118948789e-05,85,8.86039118948789e-05
0.325,0.26,0.1,8.86799691825846e-05,123,8.86799691825846e-05
1,0.74,0.74,8.90047332751212e-05,118,8.90047332751212e-05
0.325,0.9,0.58,8.91386476876273e-05,160,8.91386476876273e-05
0.775,0.9,0.1,8.92462451448809e-05,260,8.92462451448809e-05
1,0.58,0.58,8.92868843634555e-05,99,8.92868843634555e-05
0.1,0.9,0.1,8.93653204905214e-05,224,8.93653204905214e-05
1,0.9,0.1,8.93653204905214e-05,224,8.93653204905214e-05
0.1,0.58,0.1,8.99699139950521e-05,148,8.99699139950521e-05
1,0.58,0.1,8.99699139950521e-05,148,8.99699139950521e-05
0.1,0.1,0.1,9.00182691995028e-05,133,9.00182691995028e-05
0.55,0.9,0.26,9.03385836455144e-05,181,9.03385836455144e-05
0.1,0.26,0.1,9.07675312103047e-05,133,9.07675312103047e-05
0.325,0.74,0.58,9.16494410464145e-05,123,9.16494410464145e-05
0.1,0.58,0.26,9.17841437602564e-05,159,9.17841437602564e-05
0.325,0.58,0.1,9.19671254458296e-05,134,9.19671254458296e-05
1,0.1,0.74,9.19749173221644e-05,114,9.19749173221644e-05
0.55,0.9,0.1,9.26940308655273e-05,321,9.26940308655273e-05
0.55,0.74,0.1,9.32776964609148e-05,253,9.32776964609148e-05
0.1,0.9,0.9,9.34681957806796e-05,197,9.34681957806796e-05
0.325,0.42,0.74,9.35771340531295e-05,67,9.35771340531295e-05
0.325,0.58,0.74,9.39773281819798e-05,93,9.39773281819798e-05
1,0.9,0.26,9.40070336155314e-05,270,9.40070336155314e-05
0.325,0.42,0.58,9.4190485501645e-05,82,9.4190485501645e-05
1,0.42,0.42,9.43337712441774e-05,91,9.43337712441774e-05
1,0.74,0.26,9.45174146874301e-05,139,9.45174146874301e-05
0.325,0.9,0.9,9.46868529870813e-05,155,9.46868529870813e-05
0.775,0.58,0.26,9.48564398926568e-05,110,9.48564398926568e-05
0.775,0.9,0.58,9.55058387017652e-05,172,9.55058387017652e-05
0.1,0.74,0.58,9.55258337539525e-05,152,9.55258337539525e-05
1,0.58,0.26,9.57191520784312e-05,126,9.57191520784312e-05
0.775,0.9,0.9,9.59763453498506e-05,154,9.59763453498506e-05
1,0.9,0.58,9.60921242716962e-05,159,9.60921242716962e-05
0.55,0.9,0.9,9.61312924541361e-05,155,9.61312924541361e-05
0.55,0.9,0.42,9.65984000344499e-05,208,9.65984000344499e-05
0.775,0.26,0.42,9.66628383256372e-05,93,9.66628383256372e-05
0.325,0.26,0.74,9.68769782227029e-05,91,9.68769782227029e-05
0.1,0.9,0.58,9.69799032040255e-05,203,9.69799032040255e-05
0.55,0.42,0.42,9.720641389772e-05,78,9.720641389772e-05
0.1,0.9,0.74,9.74247231625085e-05,200,9.74247231625085e-05
0.775,0.26,0.74,9.76035855928454e-05,94,9.76035855928454e-05
0.1,0.9,0.26,9.76037474608943e-05,216,9.76037474608943e-05
0.775,0.58,0.58,9.83380135091584e-05,104,9.83380135091584e-05
0.1,0.1,0.74,9.85654090434608e-05,132,9.85654090434608e-05
0.55,0.26,0.58,9.88383943761723e-05,79,9.88383943761723e-05
0.325,0.9,0.1,9.89677030560773e-05,417,9.89677030560773e-05
0.1,0.74,0.42,9.92360671291426e-05,156,9.92360671291426e-05
0.775,0.9,0.26,9.9344849890416e-05,295,9.9344849890416e-05
0.55,0.26,0.74,9.9445523397324e-05,93,9.9445523397324e-05
0.325,0.26,0.58,9.95171692130437e-05,82,9.95171692130437e-05
0.1,0.58,0.58,9.96988638984889e-05,103,9.96988638984889e-05
