alpha_i,c,rho,f_opts,steps,final_errors
1,0.1,0.9,8.87946752287122e-08,117,8.87946752287122e-08
1,0.1,0.1,2.23569820834114e-06,114,2.23569820834114e-06
0.775,0.58,0.42,5.67828905558446e-06,114,5.67828905558446e-06
1,0.26,0.1,6.22589258329412e-06,114,6.22589258329412e-06
1,0.42,0.1,7.22805353430831e-06,114,7.22805353430831e-06
0.55,0.26,0.1,2.4664090258223e-05,120,2.4664090258223e-05
0.55,0.26,0.26,2.71430896499397e-05,113,2.71430896499397e-05
0.1,0.1,0.58,2.74844288802611e-05,113,2.74844288802611e-05
0.775,0.1,0.42,2.87503992302014e-05,99,2.87503992302014e-05
0.55,0.42,0.1,2.89008098714491e-05,121,2.89008098714491e-05
0.325,0.1,0.42,2.89565710455085e-05,99,2.89565710455085e-05
0.55,0.58,0.42,2.92025233878565e-05,114,2.92025233878565e-05
0.775,0.1,0.1,3.16604576447077e-05,115,3.16604576447077e-05
0.775,0.26,0.1,3.20172709300876e-05,115,3.20172709300876e-05
0.55,0.42,0.26,3.42376119579588e-05,114,3.42376119579588e-05
1,0.1,0.58,3.42544073081176e-05,99,3.42544073081176e-05
0.55,0.58,0.1,3.49613046363794e-05,121,3.49613046363794e-05
0.775,0.42,0.42,3.77130768921523e-05,103,3.77130768921523e-05
0.325,0.42,0.42,3.78777173513279e-05,103,3.78777173513279e-05
0.1,0.42,0.74,3.85542204275335e-05,66,3.85542204275335e-05
1,0.42,0.58,3.85936054802922e-05,84,3.85936054802922e-05
0.325,0.1,0.58,4.01399311876908e-05,99,4.01399311876908e-05
0.55,0.58,0.26,4.20214832652338e-05,117,4.20214832652338e-05
0.1,0.26,0.26,4.23815715977788e-05,99,4.23815715977788e-05
0.775,0.1,0.9,4.30976002266663e-05,118,4.30976002266663e-05
0.1,0.1,0.26,4.33857539450757e-05,99,4.33857539450757e-05
0.55,0.1,0.9,4.38773741644025e-05,122,4.38773741644025e-05
0.775,0.1,0.26,4.44677396721109e-05,99,4.44677396721109e-05
0.55,0.1,0.74,4.50646815938193e-05,116,4.50646815938193e-05
0.775,0.74,0.58,4.5814579969073e-05,119,4.5814579969073e-05
0.325,0.42,0.26,4.58334968016953e-05,107,4.58334968016953e-05
0.775,0.1,0.74,4.64719386427588e-05,115,4.64719386427588e-05
1,0.26,0.9,4.67460736982006e-05,110,4.67460736982006e-05
0.775,0.26,0.26,4.67886449101172e-05,99,4.67886449101172e-05
1,0.26,0.58,4.72812193398563e-05,84,4.72812193398563e-05
0.1,0.26,0.74,4.76364613311918e-05,90,4.76364613311918e-05
