alpha_i,c,rho,f_opts,steps,final_errors
0.325,0.74,0.58,37.6387074832404,33,5.32691295589416e-05
0.325,0.74,0.74,37.6346736776172,29,9.01603163612208e-05
0.325,0.74,0.9,37.6250278842219,27,3.78107033398578e-05
0.325,0.9,0.1,37.6837902282341,211,8.71800581521143e-05
0.325,0.9,0.26,37.6797316959667,179,9.95213834400488e-05
0.325,0.9,0.42,37.6765383766606,105,9.57906020531141e-05
0.325,0.9,0.58,37.6740840568525,100,9.76869644091494e-05
0.325,0.9,0.74,37.6717308667417,84,8.25406425093433e-05
0.325,0.9,0.9,37.669921606264,79,7.88963822060396e-05
0.55,0.1,0.1,64.703900502151,42,6.77124911874216e-05
0.55,0.1,0.26,37.3492208092881,30,8.68875483845954e-05
0.55,0.1,0.42,65.9766214096221,21,8.57042312958356e-05
0.55,0.1,0.58,65.7403850706781,8,6.00667344485828e-05
0.55,0.1,0.74,67.9246499990767,20,5.39778725681117e-05
0.55,0.1,0.9,39.5591995066285,39,9.19603830098481e-05
0.55,0.26,0.1,37.102870090661,39,8.7017737826045e-05
0.55,0.26,0.26,37.3505512018173,16,8.83623728924476e-05
0.55,0.26,0.42,37.4260285184248,11,6.93837150222976e-05
0.55,0.26,0.58,37.393255994555,9,3.60155977432441e-05
0.55,0.26,0.74,37.3698785349458,12,8.06206351668948e-05
0.55,0.26,0.9,36.7640757208349,14,6.1919038948588e-05
0.55,0.42,0.1,37.5243352909239,45,7.68795144594492e-05
0.55,0.42,0.26,37.5058428572047,17,7.81363033652838e-05
0.55,0.42,0.42,37.5312767944875,13,3.47588236877527e-05
0.55,0.42,0.58,37.5291948584419,12,7.67951993196903e-05
0.55,0.42,0.74,37.4875079835438,8,3.76512635540394e-05
0.55,0.42,0.9,37.4733288758836,9,5.74229588963249e-05
0.55,0.58,0.1,37.624030537901,57,6.60248876656055e-05
0.55,0.58,0.26,37.6120728581331,27,7.46377884865979e-05
0.55,0.58,0.42,37.5924587123215,18,5.67992999975786e-05
0.55,0.58,0.58,37.6053003579358,17,4.35659146234002e-05
0.55,0.58,0.74,37.5921265167358,15,3.41623857167406e-05
0.55,0.58,0.9,37.5673375902274,13,3.86636440126154e-05
0.55,0.74,0.1,37.6645337150936,81,7.62338929760631e-05
0.55,0.74,0.26,37.6518206432009,45,7.60484041890663e-05
0.55,0.74,0.42,37.6422507477454,44,8.79021627255838e-05
0.55,0.74,0.58,37.6390538027384,33,8.28215714321345e-05
0.55,0.74,0.74,37.6351235803689,31,4.6337982098521e-05
0.55,0.74,0.9,37.6250442220792,27,3.83636247818231e-05
0.55,0.9,0.1,37.6845790366854,464,9.98327035119928e-05
0.55,0.9,0.26,37.6793122841398,137,8.26054812463894e-05
0.55,0.9,0.42,37.6766332266641,120,9.69445920731005e-05
0.55,0.9,0.58,37.6735722041123,101,7.88774206341714e-05
0.55,0.9,0.74,37.6718593090727,85,9.0835823272073e-05
0.55,0.9,0.9,37.6699295186573,79,8.00729048577864e-05
0.775,0.1,0.1,37.3830846980872,28,6.30743207636897e-05
0.775,0.1,0.26,65.2096256155648,10,9.4408647996147e-05
0.775,0.1,0.42,66.5419717461528,6,5.34893789136959e-05
0.775,0.1,0.58,66.9848946683759,29,9.44903126480767e-05
0.775,0.1,0.74,38.0606458053119,17,6.95849153871109e-05
0.775,0.1,0.9,39.6150550216412,25,9.04202452574054e-05
0.775,0.26,0.1,37.3830846980872,28,6.30743207636897e-05
0.775,0.26,0.26,37.4886086225142,14,5.91441665136472e-05
0.775,0.26,0.42,37.310910346857,8,3.79774287608825e-05
0.775,0.26,0.58,36.8291995030551,6,5.38333017274795e-05
0.775,0.26,0.74,37.3072627465441,8,5.59957363179819e-05
0.775,0.26,0.9,37.2311770158666,11,6.63268996063948e-05
0.775,0.42,0.1,37.5420014484028,34,9.44604992696441e-05
0.775,0.42,0.26,37.5117345671062,11,8.60745294417598e-05
0.775,0.42,0.42,37.5617248621687,10,7.65652102430181e-05
0.775,0.42,0.58,37.4923574774059,11,7.54643819078638e-05
0.775,0.42,0.74,37.4860092957373,9,4.21634353386935e-05
0.775,0.42,0.9,37.4706997161928,9,3.85273551160026e-05
0.775,0.58,0.1,37.6325154228023,48,5.9816341916985e-05
